role,timestamp,instance,arm_requested,arm_reported,rep,timelimit,feasible,objective,obj1,obj2,obj3,wall_solve_s,wall_script_s,stop_reason,assignment_lb,lbbd_iters,full_present,full_aborted,full_skipped,seed_feasible,master_status_full,arm_info,error,raw_info_file
screening_n1,2026-07-27T13:35:17,prob_11,congestion,congestion,0,60.0,True,121687.0,3.0,292,384.0,46.705,47.89,NO_STOP_ENTRY,,10,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 46, ""1"": 51, ""2"": 51, ""3"": 52}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_11_congestion_rep0.json
screening_n1,2026-07-27T13:36:15,prob_12,baseline,baseline,0,60.0,True,109739.0,0.0,1636,739.0,45.371,46.84,NO_STOP_ENTRY,,7,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_12_baseline_rep0.json
screening_n1,2026-07-27T13:37:11,prob_12,congestion,congestion,0,60.0,True,109739.0,0.0,1636,739.0,46.932,48.38,NO_STOP_ENTRY,,7,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 45, ""1"": 60, ""2"": 51, ""3"": 44}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_12_congestion_rep0.json
screening_n1,2026-07-27T13:38:14,prob_13,baseline,baseline,0,60.0,True,196436.0,4.0,2272,832.0,44.318,46.04,NO_STOP_ENTRY,,6,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_13_baseline_rep0.json
screening_n1,2026-07-27T13:39:10,prob_13,congestion,congestion,0,60.0,True,196436.0,4.0,2272,832.0,45.929,47.21,NO_STOP_ENTRY,,6,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 55, ""1"": 69, ""2"": 60, ""3"": 66}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_13_congestion_rep0.json
screening_n1,2026-07-27T13:40:06,prob_14,baseline,baseline,0,60.0,True,228876.0,9.0,1193,473.0,43.967,45.29,NO_STOP_ENTRY,,8,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_14_baseline_rep0.json
screening_n1,2026-07-27T13:41:01,prob_14,congestion,congestion,0,60.0,True,252700.0,11.0,1347,379.0,43.963,45.47,NO_STOP_ENTRY,,7,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 54, ""1"": 77, ""2"": 58, ""3"": 61}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_14_congestion_rep0.json
screening_n1,2026-07-27T13:41:58,prob_15,baseline,baseline,0,60.0,True,60069.0,0.0,4220,293.0,43.771,45.37,NO_STOP_ENTRY,,9,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_15_baseline_rep0.json
screening_n1,2026-07-27T13:42:52,prob_15,congestion,congestion,0,60.0,True,60069.0,0.0,4220,293.0,47.668,48.97,NO_STOP_ENTRY,,10,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 62, ""1"": 53, ""2"": 66, ""3"": 69}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_15_congestion_rep0.json
screening_n1,2026-07-27T13:43:51,prob_16,baseline,baseline,0,60.0,True,73564.0,0.0,3328,428.0,47.48,48.89,NO_STOP_ENTRY,,30,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_16_baseline_rep0.json
screening_n1,2026-07-27T13:44:54,prob_16,congestion,congestion,0,60.0,True,73564.0,0.0,3328,428.0,47.038,48.63,NO_STOP_ENTRY,,29,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 78, ""1"": 56, ""2"": 58, ""3"": 58}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_16_congestion_rep0.json
screening_n1,2026-07-27T13:46:03,prob_17,baseline,baseline,0,60.0,True,61760.0,0.0,6928,256.0,46.226,47.82,NO_STOP_ENTRY,,30,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_17_baseline_rep0.json
